Unnamed: 0,Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments ,When is your birthday (date)?,How many students do you estimate there are in the room?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)? ,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?,Parsed How many students do you estimate there are in the room?,Parsed What is your stress level (0-100)?,Parsed How many hours per week do you do sports (in whole hours)?,Parsed Give a random number,Parsed Time you went to bed Yesterday,category_goodday_1,category_goodday_2,SleepDeviation,Norm.SleepDeviation,Norm.Stress,Norm.Sport,WellBeing
72,4-1-2025 12:18:20,AI & Data Science,yes,0,mu,ja,male,yes,]2000-2005],250,200,5,42,23:00,Sex,Alcohol ,250.0,41.35333333333333,5.0,42.0,23.0,friends/family,alchol/drugs,0.5,0.9579242636746144,0.5864666666666667,0.07246376811594203,0.5389515661524077
73,4-1-2025 12:18:20,"Business, Finance & Econometrics",yes,1,mu,ja,male,yes,]2000-2005],350,42,10,5347833,2300,Good food and no econometrics courses,"Sun, exercise and beer",350.0,42.0,10.0,5347833.0,23.0,food,weather,0.5,0.9579242636746144,0.5800000000000001,0.14492753623188406,0.5609505999688328
74,4-1-2025 12:18:20,Computer Science & Technology,no,1,unknown,nee,male,yes,]2000-2005],380,99999,10,7777,2 pm,weed,alcohol,380.0,38.24,10.0,7777.0,14.0,alchol/drugs,alchol/drugs,8.5,0.28471248246844316,0.6175999999999999,0.14492753623188406,0.34908000623344243
75,4-1-2025 12:18:21,Computer Science & Technology,yes,0,mu,ja,female,yes,]1995-2000],5,60,4,8,23,Sunshine,Friends ,5.0,60.0,4.0,8.0,23.0,weather,friends/family,0.5,0.9579242636746144,0.4,0.057971014492753624,0.47196509272245596
76,4-1-2025 12:18:22,AI & Data Science,yes,0,mu,unknown,male,yes,]1995-2000],350,15,6,42,23:00,Good weather,Chilling,350.0,15.0,6.0,42.0,23.0,weather,sleep/rest,0.5,0.9579242636746144,0.85,0.08695652173913043,0.6316269284712482
77,4-1-2025 12:18:22,AI & Data Science,yes,1,mu,ja,female,yes,]2000-2005],400,30,4,77,23:55,Sunny weather,Good food,400.0,30.0,4.0,77.0,23.916666666666668,weather,food,1.4166666666666679,0.8807854137447404,0.7,0.057971014492753624,0.5462521427458313
78,4-1-2025 12:18:26,AI & Data Science,yes,unknown,mu,ja,female,yes,]2000-2005],330,47,12,30,23:45,Good food,Sun,330.0,47.0,12.0,30.0,23.75,food,weather,1.25,0.8948106591865358,0.53,0.17391304347826086,0.5329079008882656
79,4-1-2025 12:18:26,AI & Data Science,yes,0,mu,ja,female,yes,]2000-2005],350,10,12,3,2am,sun,good food,350.0,10.0,12.0,3.0,2.0,weather,food,3.5,0.7054698457223001,0.9,0.17391304347826086,0.5931276297335203
80,4-1-2025 12:18:27,Computer Science & Technology,yes,1,unknown,nee,male,yes,]2000-2005],200,20,15,6,1:30am,delicious food,alcohol dose,200.0,20.0,15.0,6.0,1.5,food,alchol/drugs,3.0,0.7475455820476858,0.8,0.21739130434782608,0.5883122954651707
81,4-1-2025 12:18:27,AI & Data Science,yes,1,sigma,ja,male,yes,]2000-2005],250,20,3,42,0:30,no responsibilities,nice weather,250.0,20.0,3.0,42.0,0.5,sleep/rest,weather,2.0,0.8316970546984572,0.8,0.043478260869565216,0.5583917718560075
